country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,31,31,31,27,25,26,27,26,27,27,27,26,27,27,27,22,22,18,18,18,18,12,11,11,11,11,18,38,38,39,38,38,39,39,39,38,38,39,38,38,38,36,37,36
Albania,20,20,20,20,21,20,21,20,20,20,21,21,21,21,21,29,54,57,60,60,61,61,60,61,62,66,66,66,66,67,67,68,68,68,68,68,68,68,69,69,69,69,69,68
Algeria,45,44,44,45,45,45,46,45,45,46,46,46,46,46,46,49,48,48,47,48,49,48,48,49,50,49,50,50,50,50,49,50,50,50,49,49,49,49,51,53,53,54,53,54
Angola,22,24,24,24,24,25,24,24,24,25,25,25,25,25,25,28,31,36,36,36,35,35,37,37,37,37,37,46,43,44,44,45,44,45,45,45,45,45,45,45,45,45,48,51
Argentina,49,21,19,19,19,20,19,21,43,68,68,68,68,68,68,68,68,68,68,69,69,69,70,70,70,70,69,69,69,69,70,70,71,71,70,70,71,71,68,68,67,70,70,74
Armenia,,,,,,,,,,,,,,,,,58,58,58,57,56,57,57,56,56,56,56,56,57,56,56,56,56,55,55,54,54,54,57,56,58,59,59,64
Australia,84,84,84,84,84,84,84,84,85,85,85,86,86,86,86,87,87,87,87,87,88,88,87,88,88,88,88,88,88,88,88,89,89,88,89,89,89,89,88,87,87,87,85,85
Austria,81,83,83,83,83,84,86,86,86,86,86,89,88,89,89,89,89,89,89,89,90,90,90,90,90,90,90,91,90,90,90,90,90,91,91,90,91,91,89,88,89,89,89,80
Azerbaijan,,,,,,,,,,,,,,,,,45,50,48,39,40,40,40,39,39,39,39,39,39,38,38,38,39,38,38,38,39,39,35,35,35,35,38,36
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,43,43,43,43,41,25,25,25,25,24,24,22,22
Bangladesh,40,41,44,44,47,48,48,46,45,45,45,46,46,47,46,46,50,50,50,51,50,50,50,51,50,53,51,47,47,48,48,48,44,45,49,50,50,49,46,45,46,45,43,44
Belarus,,,,,,,,,,,,,,,,,62,68,69,69,67,60,58,58,57,57,56,53,53,54,54,54,54,54,54,53,53,53,54,54,55,56,56,55
Belgium,86,86,87,87,87,87,88,88,88,88,88,88,88,88,88,91,92,91,92,92,92,92,92,93,93,93,93,93,94,94,94,94,93,94,94,94,95,94,92,92,91,91,89,89
Benin,40,40,40,40,41,41,41,41,41,41,40,40,41,41,41,67,68,69,70,69,70,70,69,69,70,70,69,70,70,70,70,68,68,68,69,69,69,69,73,75,75,75,76,75
Bolivia,28,28,29,31,34,27,31,41,49,50,53,52,53,53,54,54,55,55,54,55,56,56,57,57,57,57,57,57,57,57,57,56,56,56,56,56,56,56,56,56,55,55,54,55
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,40,40,39,41,52,53,54,54,61,64,64,65,65,66,65,65,66,66,65,64,65,63,64,64,63,63,57
Botswana,61,63,62,62,62,62,63,62,63,63,63,64,64,64,64,64,64,64,64,64,66,66,66,68,68,68,69,68,68,69,69,69,69,69,69,69,69,69,69,69,71,71,67,68
Brazil,29,30,31,30,37,38,38,38,38,38,47,50,50,57,61,62,65,65,64,65,65,66,66,66,66,66,66,67,67,67,68,69,69,69,69,70,69,69,68,67,67,61,61,59
Bulgaria,38,38,38,38,38,39,39,39,39,39,40,40,40,40,40,72,73,73,72,72,73,73,73,72,73,73,73,73,73,74,73,75,75,75,74,74,74,73,69,68,70,70,70,69
Burkina Faso,44,45,46,46,45,45,45,44,46,46,44,45,45,44,45,45,50,54,55,54,54,54,55,55,58,60,60,60,60,60,60,59,60,60,59,60,60,58,62,65,65,63,64,60
Burundi,34,38,38,39,39,39,39,39,42,42,42,42,41,42,41,41,42,46,46,46,46,45,45,45,45,45,45,45,46,46,47,46,46,46,46,48,48,48,40,40,35,30,35,30
Cambodia,2,4,3,4,17,24,24,24,24,25,24,25,25,25,25,27,26,33,37,41,41,41,41,41,42,42,43,43,41,41,41,42,42,42,42,42,42,42,42,42,42,38,36,36
Cameroon,31,31,32,32,31,35,34,40,41,41,41,41,41,41,41,44,46,47,52,51,51,52,51,51,50,52,52,52,53,53,48,48,48,48,48,49,48,50,44,44,43,41,38,38
Canada,78,80,80,80,80,80,80,82,83,84,84,84,84,84,84,84,84,84,85,85,86,85,86,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,84,84,83,84,83,84
Central African Republic,34,33,31,31,33,40,41,39,40,40,40,40,40,40,39,41,42,43,43,44,44,44,44,45,45,45,44,43,42,42,42,43,42,42,42,42,42,42,34,36,40,43,41,44
Chad,30,29,29,28,28,24,24,22,24,25,24,25,24,24,24,27,34,35,35,35,35,36,36,36,35,35,35,35,36,36,36,36,35,35,35,35,36,35,38,38,39,39,39,39
Chile,25,25,26,26,27,28,28,28,28,28,29,29,30,30,34,67,67,67,69,69,69,71,70,70,70,74,75,76,76,76,77,75,75,76,75,76,77,78,77,77,76,76,76,74
China,23,23,23,29,37,41,41,41,41,41,41,41,41,42,41,40,40,40,40,40,41,41,42,41,42,41,41,42,42,41,41,41,41,42,41,41,41,41,41,42,40,40,41,39
Colombia,41,41,41,39,38,39,39,39,39,39,39,39,39,37,37,38,47,50,49,50,50,50,52,51,51,52,51,51,52,52,52,52,53,52,53,54,57,58,58,58,57,59,57,52
"Congo, Dem. Rep.",28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,32,33,33,34,34,34,34,34,36,37,34,34,34,34,35,35,35,35,35,36,36,36,36,36,36,36,35,36,36
"Congo, Rep.",31,31,31,27,27,27,27,27,27,28,28,28,28,28,28,32,47,47,48,47,47,47,36,36,36,36,36,36,38,38,38,37,38,37,38,37,38,39,36,36,35,35,36,42
Costa Rica,69,69,69,69,71,73,72,72,71,72,72,72,74,74,81,85,85,85,85,85,85,85,87,87,87,88,88,89,89,89,87,88,88,88,88,88,89,90,88,88,88,87,85,84
Cote d'Ivoire,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,47,47,47,47,49,50,50,50,50,50,53,52,52,51,51,50,52,52,52,51,50,50,53,58,59,59,58,55,53
Croatia,,,,,,,,,,,,,,,,,49,52,52,52,53,58,60,60,60,70,71,71,71,71,70,70,71,71,71,71,71,71,69,69,68,66,66,65
Cuba,31,31,32,32,33,34,34,34,34,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,36,36,36,36,36,35,35,36,36,36,36,36,36,36,39,39,39,40,40,41
Cyprus,60,62,63,62,63,63,64,64,64,64,64,64,64,64,64,68,68,68,69,69,69,68,68,68,70,71,71,71,72,78,78,78,80,81,81,83,83,83,82,81,82,82,82,82
Czech Republic,36,37,36,37,36,36,37,37,37,37,37,37,38,38,42,80,81,80,81,81,81,80,81,81,81,82,81,81,82,81,82,83,82,82,82,83,83,82,83,83,83,82,83,83
Denmark,97,97,97,97,97,97,97,97,97,97,97,98,98,98,98,98,98,99,99,99,99,99,99,100,100,100,100,99,99,99,100,99,99,100,100,100,100,100,96,96,95,94,94,94
Dominican Republic,40,40,40,42,57,57,57,57,57,56,57,56,57,56,57,57,57,57,58,57,58,60,64,64,64,64,64,63,63,63,63,64,63,63,63,64,65,65,65,64,61,61,56,63
Ecuador,32,32,33,33,40,47,46,46,47,45,44,43,44,46,47,47,47,47,47,47,47,48,47,53,54,54,54,54,54,54,54,54,56,57,57,57,57,57,57,58,57,59,60,62
Egypt,44,44,44,44,45,46,47,48,47,48,48,48,48,47,48,47,47,47,47,47,47,48,48,48,48,46,40,40,40,40,40,40,40,40,40,41,46,45,35,35,33,34,41,43
El Salvador,19,18,18,18,18,18,18,19,19,19,19,20,19,20,20,21,21,37,45,46,47,47,47,47,47,50,50,50,49,50,50,50,51,51,51,52,52,52,48,49,48,49,49,47
Equatorial Guinea,0,1,0,1,9,29,29,29,29,30,29,29,29,29,30,30,29,30,30,30,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,29,29,28,29,29,29,29,28,30
Eritrea,,,,,,,,,,,,,,,,,,,36,37,36,37,37,37,36,34,26,18,18,18,18,18,18,18,18,18,18,19,19,19,19,21,21,22
Estonia,,,,,,,,,,,,,,,,,79,79,83,81,82,82,82,82,82,83,83,83,83,84,84,84,84,85,86,87,87,87,86,86,86,86,87,87
Ethiopia,24,24,24,25,24,24,24,23,23,23,23,24,24,23,23,24,41,44,44,45,47,46,45,45,45,46,46,46,46,46,47,46,46,46,45,45,45,44,44,44,43,45,48,52
Finland,87,88,88,88,87,89,89,89,89,89,89,89,89,90,89,91,92,93,92,92,93,94,94,94,94,94,94,94,94,95,94,95,94,94,95,95,95,96,93,94,89,89,90,90
France,78,78,79,79,79,79,80,80,80,80,81,80,80,81,81,82,84,88,88,88,89,89,89,89,89,90,90,89,88,88,89,89,89,91,91,91,91,93,91,90,90,90,87,86
Gabon,40,40,40,41,41,41,42,42,42,42,42,42,42,42,42,51,55,55,55,55,56,55,55,55,55,56,56,56,56,56,56,56,57,57,57,59,58,58,63,63,63,62,65,65
Gambia,56,55,56,55,55,56,56,56,56,56,57,56,56,57,57,57,56,57,57,50,45,46,47,47,47,48,48,48,48,48,48,48,48,48,47,47,47,47,46,46,46,46,62,63
Georgia,,,,,,,,,,,,,,,,,52,55,55,57,58,57,58,58,57,57,57,57,58,59,61,61,60,60,59,60,60,60,64,65,65,67,67,68
Germany,83,83,83,85,85,88,88,88,88,89,88,88,89,89,89,92,92,92,92,92,92,92,92,93,94,95,95,95,95,95,96,96,96,96,96,98,98,98,94,94,92,93,91,91
Ghana,38,38,37,38,51,53,47,35,34,34,35,35,35,35,35,40,40,41,55,63,64,64,66,65,66,68,68,68,73,73,73,74,75,74,75,76,76,72,75,74,65,70,73,72
Greece,66,72,74,74,74,75,76,77,77,78,78,78,78,78,79,79,79,80,80,80,80,80,80,80,81,81,81,81,81,81,81,81,79,79,80,79,79,78,83,83,83,82,83,81
Guatemala,15,15,12,11,11,9,9,9,9,11,15,28,29,29,30,30,30,30,30,31,32,36,37,38,38,44,44,44,44,44,44,44,44,45,45,45,45,45,47,47,48,48,50,45
Guinea,25,25,25,25,26,25,26,26,25,28,34,34,34,35,35,37,38,41,42,39,39,39,39,39,40,39,40,40,40,40,40,40,42,41,40,45,45,45,43,43,43,43,43,44
Guinea-Bissau,30,31,30,30,30,31,31,31,31,31,31,31,31,31,31,32,32,32,36,39,41,41,41,41,41,42,43,43,45,46,46,46,46,46,46,46,47,45,47,47,47,48,45,47
Haiti,27,26,26,27,27,26,27,27,27,27,27,32,37,37,37,39,39,33,33,35,44,44,47,47,47,47,46,46,45,45,45,46,48,49,47,47,47,47,42,42,42,44,40,37
Honduras,32,32,33,32,32,36,39,39,40,40,40,41,41,43,43,46,46,47,47,48,49,50,50,50,51,50,50,50,51,51,52,53,53,53,44,45,48,51,51,51,51,51,52,52
Hungary,44,44,44,44,44,45,45,46,46,46,46,46,46,49,55,77,77,77,76,77,77,77,77,76,76,76,76,77,76,77,77,71,77,77,77,72,72,71,70,70,69,70,70,66
India,48,48,55,59,59,59,59,59,60,60,60,61,60,60,59,60,61,61,61,62,62,61,61,62,62,61,61,61,61,61,61,61,61,61,61,59,59,58,63,61,59,58,57,57
Indonesia,35,36,36,37,36,36,36,36,36,36,36,36,36,37,37,37,37,36,36,37,37,36,37,45,63,63,63,64,64,64,64,64,64,63,63,64,63,62,61,62,64,65,63,61
Iran,38,38,38,38,35,27,26,25,25,27,31,30,31,31,32,34,35,36,36,37,38,38,41,42,42,43,43,43,43,43,41,40,40,41,40,39,39,39,43,43,44,46,45,43
Iraq,31,31,31,32,30,26,26,26,26,26,26,27,26,26,27,26,26,25,26,26,26,26,26,26,26,26,26,26,40,45,45,45,45,45,45,44,44,43,41,40,40,41,41,44
Ireland,73,73,73,74,74,73,77,77,78,77,78,78,79,79,79,81,82,83,83,83,83,83,84,83,84,84,84,84,84,84,84,84,85,85,85,85,85,86,84,84,84,85,87,86
Israel,68,69,68,68,69,69,69,69,69,69,69,69,69,68,68,68,69,69,69,70,70,70,70,70,70,70,69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,71,71
Italy,73,75,75,75,75,79,81,81,82,82,83,83,82,83,83,83,84,84,84,85,85,85,85,84,84,85,84,85,85,84,85,85,85,85,85,85,85,86,86,87,87,87,87,85
Jamaica,57,57,57,57,58,59,60,60,60,60,60,61,61,61,61,66,67,67,68,68,69,68,69,69,68,68,68,68,69,68,69,69,69,69,69,69,70,70,72,72,72,74,74,73
Japan,83,82,83,83,83,83,83,83,83,83,83,84,84,84,84,83,82,83,84,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,84,84,82,83,83,83
Jordan,42,42,42,42,42,46,46,46,46,45,46,46,46,47,48,51,51,51,52,52,52,52,51,51,52,51,52,52,52,52,52,53,53,53,53,54,54,54,55,55,55,57,57,59
Kazakhstan,,,,,,,,,,,,,,,,,59,58,61,61,60,60,60,60,60,60,60,55,55,55,54,54,54,54,54,54,53,54,56,56,55,56,56,50
Kenya,33,34,34,34,34,35,35,35,34,34,34,34,34,34,33,36,38,40,43,43,44,44,44,44,43,46,46,47,49,49,49,49,49,50,49,56,56,56,49,49,49,49,47,46
Kuwait,51,50,50,50,50,50,51,50,50,50,50,50,50,50,50,45,46,54,54,54,54,54,54,54,54,54,53,55,55,55,55,56,56,56,56,56,56,56,57,56,56,56,57,59
Kyrgyz Republic,,,,,,,,,,,,,,,,,55,57,57,55,55,54,54,54,54,52,52,51,51,51,50,51,51,51,50,54,56,55,58,58,58,59,58,61
Lao,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,29,29,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,29,28,29,29,29,30,30,29,29,30,32
Latvia,,,,,,,,,,,,,,,,,71,72,79,80,80,80,80,81,81,81,81,81,81,81,82,82,82,82,82,83,83,83,83,83,83,80,81,82
